key_resp_practice.keys,key_resp_practice.rt,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,stimuli,session,participant,date,expName,psychopyVersion,frameRate,key_resp_trial.keys,key_resp_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
left,1.172,1,0,4,0,1,3,bada1.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,,,,,,,,
left,1.199,1,0,4,1,1,3,bada2.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,,,,,,,,
right,0.83,1,0,4,2,1,3,bada9.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,,,,,,,,
right,0.654,1,0,4,3,1,3,bada10.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,,,,,,,,
,,,,,,,,bada6.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.946,3,0,30,5,1,29
,,,,,,,,bada2.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.914,3,0,30,1,1,29
,,,,,,,,bada5.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,0.599,3,0,30,4,1,29
,,,,,,,,bada7.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.597,3,0,30,6,1,29
,,,,,,,,bada9.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.643,3,0,30,8,1,29
,,,,,,,,bada3.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.815,3,0,30,2,1,29
,,,,,,,,bada4.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,0.462,3,0,30,3,1,29
,,,,,,,,bada8.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.731,3,0,30,7,1,29
,,,,,,,,bada1.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.697,3,0,30,0,1,29
,,,,,,,,bada10.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,1.047,3,0,30,9,1,29
,,,,,,,,bada5.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,4.481,3,0,30,4,1,29
,,,,,,,,bada10.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.613,3,0,30,9,1,29
,,,,,,,,bada1.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.746,3,0,30,0,1,29
,,,,,,,,bada2.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.614,3,0,30,1,1,29
,,,,,,,,bada3.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.583,3,0,30,2,1,29
,,,,,,,,bada6.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.764,3,0,30,5,1,29
,,,,,,,,bada9.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.63,3,0,30,8,1,29
,,,,,,,,bada8.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.656,3,0,30,7,1,29
,,,,,,,,bada4.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,0.714,3,0,30,3,1,29
,,,,,,,,bada7.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.812,3,0,30,6,1,29
,,,,,,,,bada3.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.912,3,0,30,2,1,29
,,,,,,,,bada8.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.581,3,0,30,7,1,29
,,,,,,,,bada6.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.746,3,0,30,5,1,29
,,,,,,,,bada10.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.597,3,0,30,9,1,29
,,,,,,,,bada9.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.664,3,0,30,8,1,29
,,,,,,,,bada2.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,right,0.988,3,0,30,1,1,29
,,,,,,,,bada5.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,0.58,3,0,30,4,1,29
,,,,,,,,bada4.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,0.577,3,0,30,3,1,29
,,,,,,,,bada7.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,1.148,3,0,30,6,1,29
,,,,,,,,bada1.wav,001,EMD,2019-02-14_09h56.54.363,2afc_template,3.0.3,60,left,2.001,3,0,30,0,1,29
