key_resp_practice.keys,key_resp_practice.rt,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,stimuli,session,participant,date,expName,psychopyVersion,frameRate,key_resp_trial.keys,key_resp_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
left,5.659,1,0,4,0,1,3,bada1.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,,,,,,,,
left,1.641,1,0,4,1,1,3,bada2.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,,,,,,,,
right,0.945,1,0,4,2,1,3,bada9.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,,,,,,,,
right,0.681,1,0,4,3,1,3,bada10.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,,,,,,,,
,,,,,,,,bada5.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,1.306,3,0,30,4,1,29
,,,,,,,,bada7.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.578,3,0,30,6,1,29
,,,,,,,,bada3.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.877,3,0,30,2,1,29
,,,,,,,,bada9.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.628,3,0,30,8,1,29
,,,,,,,,bada8.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.71,3,0,30,7,1,29
,,,,,,,,bada10.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.662,3,0,30,9,1,29
,,,,,,,,bada2.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.963,3,0,30,1,1,29
,,,,,,,,bada6.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.826,3,0,30,5,1,29
,,,,,,,,bada4.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.778,3,0,30,3,1,29
,,,,,,,,bada1.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.613,3,0,30,0,1,29
,,,,,,,,bada6.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.665,3,0,30,5,1,29
,,,,,,,,bada7.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.577,3,0,30,6,1,29
,,,,,,,,bada4.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.828,3,0,30,3,1,29
,,,,,,,,bada5.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.93,3,0,30,4,1,29
,,,,,,,,bada8.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.595,3,0,30,7,1,29
,,,,,,,,bada1.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.778,3,0,30,0,1,29
,,,,,,,,bada9.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.563,3,0,30,8,1,29
,,,,,,,,bada2.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.863,3,0,30,1,1,29
,,,,,,,,bada10.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.596,3,0,30,9,1,29
,,,,,,,,bada3.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.946,3,0,30,2,1,29
,,,,,,,,bada9.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.579,3,0,30,8,1,29
,,,,,,,,bada6.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.662,3,0,30,5,1,29
,,,,,,,,bada1.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.563,3,0,30,0,1,29
,,,,,,,,bada5.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.396,3,0,30,4,1,29
,,,,,,,,bada10.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.461,3,0,30,9,1,29
,,,,,,,,bada8.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.644,3,0,30,7,1,29
,,,,,,,,bada2.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.71,3,0,30,1,1,29
,,,,,,,,bada3.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.83,3,0,30,2,1,29
,,,,,,,,bada7.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,right,0.613,3,0,30,6,1,29
,,,,,,,,bada4.wav,001,JRM,2019-02-14_09h59.12.984,2afc_template,3.0.3,60,left,0.812,3,0,30,3,1,29
