key_resp_practice.keys,key_resp_practice.rt,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,stimuli,session,participant,date,expName,psychopyVersion,frameRate,key_resp_trial.keys,key_resp_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
left,1.194,1,0,4,0,1,3,bada1.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,,,,,,,,
left,1.043,1,0,4,1,1,3,bada2.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,,,,,,,,
left,1.725,1,0,4,2,1,3,bada9.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,,,,,,,,
right,3.06,1,0,4,3,1,3,bada10.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,,,,,,,,
,,,,,,,,bada5.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.904,3,0,30,4,1,29
,,,,,,,,bada2.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.711,3,0,30,1,1,29
,,,,,,,,bada6.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.944,3,0,30,5,1,29
,,,,,,,,bada7.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,1.026,3,0,30,6,1,29
,,,,,,,,bada4.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.758,3,0,30,3,1,29
,,,,,,,,bada1.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.709,3,0,30,0,1,29
,,,,,,,,bada3.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.859,3,0,30,2,1,29
,,,,,,,,bada9.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.677,3,0,30,8,1,29
,,,,,,,,bada8.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.744,3,0,30,7,1,29
,,,,,,,,bada10.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.777,3,0,30,9,1,29
,,,,,,,,bada10.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.894,3,0,30,9,1,29
,,,,,,,,bada2.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.659,3,0,30,1,1,29
,,,,,,,,bada6.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.777,3,0,30,5,1,29
,,,,,,,,bada9.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.678,3,0,30,8,1,29
,,,,,,,,bada3.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.66,3,0,30,2,1,29
,,,,,,,,bada4.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.743,3,0,30,3,1,29
,,,,,,,,bada1.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.628,3,0,30,0,1,29
,,,,,,,,bada7.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.611,3,0,30,6,1,29
,,,,,,,,bada5.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.827,3,0,30,4,1,29
,,,,,,,,bada8.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.711,3,0,30,7,1,29
,,,,,,,,bada9.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.86,3,0,30,8,1,29
,,,,,,,,bada7.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.71,3,0,30,6,1,29
,,,,,,,,bada1.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.776,3,0,30,0,1,29
,,,,,,,,bada8.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.561,3,0,30,7,1,29
,,,,,,,,bada10.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,right,0.661,3,0,30,9,1,29
,,,,,,,,bada3.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.461,3,0,30,2,1,29
,,,,,,,,bada4.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.544,3,0,30,3,1,29
,,,,,,,,bada5.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.545,3,0,30,4,1,29
,,,,,,,,bada6.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.579,3,0,30,5,1,29
,,,,,,,,bada2.wav,001,NRM,2019-02-14_15h58.36.448,2afc_template,3.0.3,60,left,0.643,3,0,30,1,1,29
