key_resp_practice.keys,key_resp_practice.rt,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,stimuli,session,participant,date,expName,psychopyVersion,frameRate,key_resp_trial.keys,key_resp_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
left,1.126,1,0,4,0,1,3,bada1.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,,,,,,,,
left,0.697,1,0,4,1,1,3,bada2.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,,,,,,,,
right,0.897,1,0,4,2,1,3,bada9.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,,,,,,,,
right,0.713,1,0,4,3,1,3,bada10.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,,,,,,,,
,,,,,,,,bada10.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,1.581,3,0,30,9,1,29
,,,,,,,,bada7.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.497,3,0,30,6,1,29
,,,,,,,,bada9.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.747,3,0,30,8,1,29
,,,,,,,,bada3.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.566,3,0,30,2,1,29
,,,,,,,,bada8.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.479,3,0,30,7,1,29
,,,,,,,,bada4.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.464,3,0,30,3,1,29
,,,,,,,,bada2.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.513,3,0,30,1,1,29
,,,,,,,,bada6.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.479,3,0,30,5,1,29
,,,,,,,,bada1.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.367,3,0,30,0,1,29
,,,,,,,,bada5.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.431,3,0,30,4,1,29
,,,,,,,,bada6.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.345,3,0,30,5,1,29
,,,,,,,,bada1.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.68,3,0,30,0,1,29
,,,,,,,,bada10.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.629,3,0,30,9,1,29
,,,,,,,,bada9.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.614,3,0,30,8,1,29
,,,,,,,,bada7.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.411,3,0,30,6,1,29
,,,,,,,,bada8.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.363,3,0,30,7,1,29
,,,,,,,,bada5.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.545,3,0,30,4,1,29
,,,,,,,,bada4.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.914,3,0,30,3,1,29
,,,,,,,,bada3.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.612,3,0,30,2,1,29
,,,,,,,,bada2.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.479,3,0,30,1,1,29
,,,,,,,,bada6.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.795,3,0,30,5,1,29
,,,,,,,,bada1.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.645,3,0,30,0,1,29
,,,,,,,,bada2.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.747,3,0,30,1,1,29
,,,,,,,,bada7.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.764,3,0,30,6,1,29
,,,,,,,,bada5.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.814,3,0,30,4,1,29
,,,,,,,,bada9.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.697,3,0,30,8,1,29
,,,,,,,,bada4.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.613,3,0,30,3,1,29
,,,,,,,,bada8.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.579,3,0,30,7,1,29
,,,,,,,,bada3.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,left,0.462,3,0,30,2,1,29
,,,,,,,,bada10.wav,001,nmr,2019-02-14_09h57.23.533,2afc_template,3.0.3,60,right,0.645,3,0,30,9,1,29
